"wmi";"name";"id"
"J87";"ISUZU";419
"J8B";"CHEVROLET";420
"J8C";"CHEVROLET";421
"J8D";"GMC";422
"J8Y";"CHEVROLET";423
"J8Z";"CHEVROLET";424
"VF8";"MATRA/TALBOT/SIMCA";1300
"VF9";"BUGATTI";1301
"JA7";"MITSUBISHI";427
"JAA";"ISUZU";428
"JAB";"ISUZU";429
"JAC";"ISUZU";430
"JAE";"ACURA";431
"JAL";"ISUZU";432
"JB3";"DODGE";433
"JB4";"DODGE";434
"JB7";"DODGE";435
"JC2";"FORD";436
"JD1";"DAIHATSU";437
"JD2";"DAIHATSU";438
"JE3";"EAGLE";439
"JF1";"SUBARU";440
"JF2";"SUBARU";441
"JF3";"SUBARU";442
"JG1";"CHEVROLET, GEO";444
"JG7";"PONTIAC";445
"JGC";"CHEVROLET, GEO";446
"JH2";"HONDA";447
"JH3";"HONDA";448
"JH4";"ACURA";449
"JHB";"HINO";450
"JHK";"HONDA";451
"JJ3";"CHRYSLER";454
"VFE";"IVECOBUS";1302
"JL6";"MITSUBISHI";456
"JLS";"STERLING";457
"JK8";"SUZUKI";458
"JKS";"SUZUKI";459
"JM2";"MAZDA";461
"JM3";"MAZDA";462
"VNK";"TOYOTA";1303
"VR1";"DS AUTOMOBILES";1304
"JN1";"DATSUN, NISSAN";465
"JN3";"NISSAN";466
"JN4";"NISSAN";467
"JN6";"DATSUN, NISSAN";468
"JN8";"NISSAN";469
"JNA";"NISSAN";470
"JNK";"INFINITI";471
"JNR";"INFINITI";472
"JNX";"INFINITI";473
"JP3";"PLYMOUTH";474
"JP4";"PLYMOUTH";475
"JP7";"PLYMOUTH";476
"JR2X";"ISUZU";477
"JS1";"SUZUKI";478
"JS2";"SUZUKI";479
"JS3";"SUZUKI";480
"JS4";"SUZUKI";481
"JSA";"SUZUKI";482
"JSL";"SUZUKI";483
"JT2";"TOYOTA";484
"JT3";"TOYOTA";485
"JT4";"TOYOTA";486
"JT5";"TOYOTA";487
"JT6";"LEXUS";488
"JT8";"LEXUS";489
"JTD";"TOYOTA";490
"JTE";"TOYOTA";491
"JTH";"LEXUS";492
"JTJ";"LEXUS";493
"JTK";"SCION";494
"JTL";"SCION";495
"JTM";"TOYOTA";496
"JTN";"TOYOTA";497
"JW6";"MITSUBISHI";498
"JW7";"MITSUBISHI";499
"KL1";"CHEVROLET";500
"KL2";"PONTIAC";501
"KL5";"SUZUKI";502
"KL7";"ASUNA";503
"KLA";"DAEWOO";504
"VSS";"SEAT";1305
"KM4";"SUZUKI";506
"KM8";"HYUNDAI";507
"KMF";"HYUNDAI";508
"KNA";"KIA";510
"KNB";"KIA";511
"KNC";"KIA";512
"KND";"HYUNDAI, KIA";513
"KNJ";"FORD";514
"VS7";"CITROËN";1306
"KPH";"MITSUBISHI";517
"L56";"RENAULT SAMSUNG";519
"VV9";"TAURO SPORT AUTO";1307
"WAG";"NEOPLAN";1308
"LES";"ISUZU";522
"WAU";"AUDI";1309
"WAP";"ALPINA";1310
"LM1";"SUZUKI";525
"LM4";"SUZUKI";526
"LM5";"ISUZU";527
"LN1";"SUZUKI";528
"WBA";"BMW";1311
"WBS";"BMW M";1312
"WBX";"BMW";1313
"WDB";"MERCEDES-BENZ";1314
"WDC, WDD, WMX";"DAIMLERCHRYSLER AG/DAIMLER AG";1315
"WEB";"EVOBUS";1316
"WF0";"FORD OF EUROPE";1317
"WJM";"IVECO";1318
